# /home/jramos/Programacion/hmeyer/yasp_cJ/src/cmake-build-debug/rdf_all VERSION2.2 28JAN2003 HM
# INTRA-molecular RDF - 17 particles per molecule
# R g_in(R) integral N (histogram of intrachain distances)
# weed=1 maxmean=99999 #frames=11 #particles=170
cJ: 202258.8184
# norm=0.0293423 norm2=nfr*nmol=0.00909091 ns*(ns-1)=28730//316030
0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.9 6.253283163 0.01181818182 104 0.945455 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1.1 38.16921053 0.1194318182 947 3.91818 4.69091 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1.3 3.610030596 0.1336363636 125 1.13636 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1.5 9.809713437 0.185 452 0.663636 0 3.44545 0 0 0 0 0 0 0 0 0 0 0 0 0
1.7 5.72986718 0.2235227273 339 2.80909 0 0.263636 0 0 0 0.00909091 0 0 0 0 0 0 0 0 0
1.9 4.358039593 0.2601136364 322 1.3 1.1 0.227273 0.109091 0.145455 0.00909091 0.00909091 0 0.00909091 0.00909091 0 0.00909091 0 0 0 0
2.1 14.56035495 0.4094318182 1314 3 3.37273 1.00909 2.19091 2.2 0.1 0.0272727 0 0.0181818 0.0272727 0 0 0 0 0 0
2.3 7.963818429 0.5073863636 862 0.854545 1.28182 1.33636 2.41818 1.34545 0.236364 0.127273 0.0545455 0.109091 0.0636364 0 0.00909091 0 0 0 0
2.5 7.695322875 0.6192045455 984 0 0.972727 1.85455 2.26364 0.781818 2.22727 0.381818 0.236364 0.118182 0.0636364 0.00909091 0.0272727 0 0 0.00909091 0
2.7 6.222504804 0.7246590909 928 0 0.645455 0.863636 1.40909 1.46364 1.90909 1.01818 0.790909 0.209091 0.0636364 0.0636364 0 0 0 0 0
2.9 4.74894662 0.8175 817 0 0.5 1.16364 1.19091 1.27273 0.654545 1.30909 0.918182 0.172727 0.136364 0.0818182 0.00909091 0.0181818 0 0 0
3.1 3.911971352 0.9048863636 769 0 0.772727 2.00909 0.863636 0.681818 0.445455 0.963636 0.563636 0.318182 0.172727 0.163636 0.00909091 0.0181818 0 0 0.00909091
3.3 1.840629554 0.9514772727 410 0 0.1 0.190909 0.2 0.472727 0.790909 0.545455 0.436364 0.645455 0.163636 0.118182 0.0181818 0.0181818 0.0272727 0 0
3.5 1.899748158 1.005568182 476 0 0 0 0.572727 0.672727 0.554545 0.890909 0.9 0.336364 0.281818 0.0818182 0.0181818 0.00909091 0 0.00909091 0
3.7 1.367832508 1.049090909 383 0 0 0 0.0272727 0.481818 0.690909 1.1 0.390909 0.290909 0.263636 0.163636 0.0636364 0.00909091 0 0 0
3.9 1.427256128 1.099545455 444 0 0 0 0 0.381818 0.863636 0.727273 0.481818 0.936364 0.290909 0.2 0.0545455 0.0727273 0.0272727 0 0
4.1 1.02965745 1.139772727 354 0 0 0 0 0.118182 0.354545 0.4 0.672727 0.7 0.472727 0.290909 0.127273 0.0272727 0.0363636 0.0181818 0
4.3 0.8779427834 1.1775 332 0 0 0 0 0.136364 0.263636 0.263636 0.527273 0.427273 0.618182 0.381818 0.145455 0.127273 0.1 0.00909091 0.0181818
